Seed,SI_max,Arrival_Rate,Time,Transient_Response_Time_Mean,Transient_Response_Time_Variance,Transient_Response_Time_CI95
11,120,6.66,1800.0,8.182813460641656,0.0,0.0
11,120,6.66,1900.0,8.573237298630469,0.0,0.0
11,120,6.66,2000.0,8.87314878994132,0.0,0.0
11,120,6.66,2100.0,9.142688505283319,0.0,0.0
11,120,6.66,2200.0,9.31602460624066,0.0,0.0
11,120,6.66,2300.0,9.470887262403675,0.0,0.0
11,120,6.66,2400.0,9.623676850214386,0.0,0.0
11,120,6.66,2500.0,9.811936133296287,0.0,0.0
11,120,6.66,2600.0,9.9846188322348,0.0,0.0
11,120,6.66,2700.0,10.139494478673587,0.0,0.0
11,120,6.66,2800.0,10.287673634503223,0.0,0.0
11,120,6.66,2900.0,10.43796136879394,0.0,0.0
11,120,6.66,3000.0,10.475310487468189,0.0,0.0
11,120,6.66,3100.0,10.56308103310128,0.0,0.0
11,120,6.66,3200.0,10.724250855043083,0.0,0.0
11,120,6.66,3300.0,10.832671036332295,0.0,0.0
11,120,6.66,3400.0,10.928823755650985,0.0,0.0
11,120,6.66,3500.0,11.01386412867992,0.0,0.0
11,120,6.66,3600.0,11.095081649028101,0.0,0.0
11,120,6.66,3700.0,11.113180578548613,0.0,0.0
11,120,6.66,3800.0,11.170397565250822,0.0,0.0
11,120,6.66,3900.0,11.24601221565261,0.0,0.0
11,120,6.66,4000.0,11.291909432249474,0.0,0.0
11,120,6.66,4100.0,11.327473707761003,0.0,0.0
11,120,6.66,4200.0,11.360170496270245,0.0,0.0
11,120,6.66,4300.0,11.377328650111929,0.0,0.0
11,120,6.66,4400.0,11.407787290458572,0.0,0.0
11,120,6.66,4500.0,11.427780191004414,0.0,0.0
11,120,6.66,4600.0,11.468793190475957,0.0,0.0
11,120,6.66,4700.0,11.496876546860683,0.0,0.0
11,120,6.66,4800.0,11.472867059479405,0.0,0.0
11,120,6.66,4900.0,11.472777601385854,0.0,0.0
11,120,6.66,5000.0,11.495906906672145,0.0,0.0
12,40,6.66,0.0,0.0,0.0,0.0
12,40,6.66,100.0,0.8568919305579252,0.0,0.0
12,40,6.66,200.0,2.154372947846225,0.0,0.0
12,40,6.66,300.0,2.6068575409051795,0.0,0.0
12,40,6.66,400.0,2.858091292435253,0.0,0.0
12,40,6.66,500.0,2.824091342672084,0.0,0.0
12,40,6.66,600.0,2.902566496918694,0.0,0.0
12,40,6.66,700.0,3.0754316281608243,0.0,0.0
12,40,6.66,800.0,3.125844567443054,0.0,0.0
12,40,6.66,900.0,3.1639321419603843,0.0,0.0
12,40,6.66,1000.0,3.0402828980479533,0.0,0.0
12,40,6.66,1100.0,2.982758430259026,0.0,0.0
12,40,6.66,1200.0,2.9732141175406643,0.0,0.0
12,40,6.66,1300.0,3.0314937139276275,0.0,0.0
12,40,6.66,1400.0,2.986043436757403,0.0,0.0
12,40,6.66,1500.0,2.9105675414380414,0.0,0.0
12,40,6.66,1600.0,2.9207218702960236,0.0,0.0
12,40,6.66,1700.0,2.8441325957674106,0.0,0.0
12,40,6.66,1800.0,2.9075150928650926,0.0,0.0
12,40,6.66,1900.0,2.8738383286704243,0.0,0.0
12,40,6.66,2000.0,2.7991828001541714,0.0,0.0
12,40,6.66,2100.0,2.770666882899195,0.0,0.0
12,40,6.66,2200.0,2.7639260929906264,0.0,0.0
12,40,6.66,2300.0,2.7102203286922055,0.0,0.0
12,40,6.66,2400.0,2.717939073317162,0.0,0.0
12,40,6.66,2500.0,2.7151367959181663,0.0,0.0
12,40,6.66,2600.0,2.7654819295455146,0.0,0.0
12,40,6.66,2700.0,2.8163868853136,0.0,0.0
12,40,6.66,2800.0,2.857455391642186,0.0,0.0
12,40,6.66,2900.0,2.840837911469451,0.0,0.0
12,40,6.66,3000.0,2.800235458119659,0.0,0.0
12,40,6.66,3100.0,2.7956360045714503,0.0,0.0
12,40,6.66,3200.0,2.7725499893106647,0.0,0.0
12,40,6.66,3300.0,2.7847682697923735,0.0,0.0
12,40,6.66,3400.0,2.806980592290333,0.0,0.0
12,40,6.66,3500.0,2.8285197099451413,0.0,0.0
12,40,6.66,3600.0,2.8347563615492017,0.0,0.0
12,40,6.66,3700.0,2.8491528427572033,0.0,0.0
12,40,6.66,3800.0,2.8201580960581074,0.0,0.0
12,40,6.66,3900.0,2.8285507496998465,0.0,0.0
12,40,6.66,4000.0,2.812675203759346,0.0,0.0
12,40,6.66,4100.0,2.783918250624924,0.0,0.0
12,40,6.66,4200.0,2.756559127876626,0.0,0.0
12,40,6.66,4300.0,2.7545682559011566,0.0,0.0
12,40,6.66,4400.0,2.7220545670068446,0.0,0.0
12,40,6.66,4500.0,2.7062750824686868,0.0,0.0
12,40,6.66,4600.0,2.6836069545471952,0.0,0.0
12,40,6.66,4700.0,2.699168089414655,0.0,0.0
12,40,6.66,4800.0,2.711920861276402,0.0,0.0
